1,20127005,NGUYỄN PHÚC,BẢO,NAM,19/11/2002,1
2,20127029,VÕ MINH,HIỆP,NAM,3/1/2002,1
3,20127046,TRẦN GIA,LẠC,NAM,4/4/2002,1
4,20127048,LUÂN HỒNG,MINH,NAM,4/6/2002,1
5,20127050,VĨ NGỌC,MINH,NAM,4/8/2002,1
6,20127067,TRẦN NHẬT,QUANG,NAM,5/10/2002,1
7,20127082,LƯU MINH,THY,NỮ,6/3/2002,1
8,20127104,TRẦN THIỆN,AN,NỮ,7/6/2002,1
9,20127112,TRƯƠNG GIA,BẢO,NAM,7/9/2002,1
10,20127119,NGUYỄN MINH,BẢO,NAM,8/1/2002,1
11,20127125,NGUYỄN MINH,CHÂU,NAM,27/03/2002,1
12,20127154,LA THANH,DUY,NAM,9/11/2002,1
13,20127161,LƯU TÀI,HIẾU,NAM,10/4/2002,1
14,20127163,NGUYỄN MINH,HIẾU,NAM,10/6/2002,1
15,20127164,NGUYỄN TẤN,HIẾU,NAM,10/7/2002,1
16,20127165,LIÊN VĂN,HOAN,NAM,23/08/2001,1
17,20127176,HỒNG MINH,HOÀNG,NAM,11/2/2002,1
18,20127182,TRƯƠNG QUỐC,HƯNG,NAM,11/4/2002,1
19,20127201,HỒNG MINH,KHANG,NAM,12/7/2002,1
20,20127208,NGUYỄN PHƯƠNG,KHANH,NAM,12/11/2002,1
21,20127213,TRẦN NGỌC MINH,KHOA,NAM,1/2/2002,1
22,20127214,MINH ANH,KHẢI,NAM,1/3/2002,1
23,20127219,CAO VĨ,KHẢI,NAM,1/6/2002,1
24,20127224,ANH TUẤN,KIỆT,NAM,1/8/2002,1
25,20127228,HỒNG MINH,LAM,NAM,1/10/2002,1
26,20127233,NGÔ BẢO,LÂM,NAM,1/12/2002,1
27,20127235,TRẦN BẢO,LINH,NAM,1/1/2001,1
28,20127247,PHẠM THANH,MINH,NAM,1/9/2001,1
29,20127248,NGUYỄN TRỌNG,NAM,NAM,1/10/2001,1
30,20127252,TRẦN MỸ,NGA,NỮ,2/2/2002,1
31,20127256,HỒ THỊ THU,NGÂN,NỮ,2/5/2002,1
32,20127264,NGUYỄN THANH,NGUYÊN,NAM,2/11/2002,1
33,20127269,VŨ TRỌNG,NHÂN,NAM,3/2/2002,1
34,20127293,NAM,PHÚC,NAM,4/4/2002,1
35,20127301,TRÌNH MINH,QUÂN,NAM,4/8/2002,1
36,20127304,LÂM,QUÂN,NAM,4/10/2002,1
37,20127315,MINH ANH,SƯƠNG,NAM,5/6/2002,1
38,20127324,PHAN MINH,TIẾN,NAM,5/8/2002,1
39,20127325,LINH THỊ,TIẾN,NAM,6/2/2002,1
40,20127326,NGUYỄN VINH,TIẾN,NAM,6/3/2002,1
41,20127338,PHẠM QUỐC,THỊNH,NAM,6/12/2002,1
42,20127343,PHẠM NGỌC ANH,THƯ,NỮ,8/7/2002,1
43,20127352,PHẠM MINH,THUẬN,NAM,7/7/2002,1
44,20127405,QUỐC TÍN,NGHĨA,NAM,10/3/2002,1
45,20127520,NGUYỄN TRƯỜNG,KHẢ,NAM,28/04/2001,1
46,20127572,LÊ CAO,NGHĨA,NAM,18/06/2002,1
47,20127577,PHAN NGUYỄN PHƯỚC,NGUYÊN,NAM,5/9/2002,1
48,20127610,TRƯƠNG,SAMUEL,NAM,1/4/2002,1
49,20127660,PHAN NGUYỄN HOÀNG,TUẤN,NAM,26/11/2002,1
50,20127678,NGUYỄN TRỌNG,NGHĨA,NAM,23/07/2002,1
